experiment_name,encoder,arch_tag,arch_label,target_layers,predictor_layers,mse_ratio,mse_diff_frac,reward_diff_frac,reward_diff,std_seen,mse_seen,mse_unseen,mse_random,std_unseen,std_random,reward_seen,reward_unseen,reward_random,mse_random_vs_seen_ratio,mse_unseen_vs_random_ratio,reward_random_vs_seen_ratio,reward_unseen_vs_random_ratio
granite_extreme_ultra,granite,extreme_ultra,extreme_ultra (128_64 / 2048_64),"(128, 64)","(2048, 64)",2.954646968265449,1.9546469682654493,0.5810044717369882,0.2954865097999573,2.4444476366625167e-05,0.0007796694408170879,0.002303649904206395,0.000779669382609427,0.00012563832569867373,2.5774103050935082e-05,-0.5085787177085876,-0.21309220790863037,-0.5085787177085876,0.9999999253432503,2.9546471888498047,1.0,0.4189955259781955
granite_predlarge_mod,granite,predlarge_mod,predlarge_mod (128_64 / 512_64),"(128, 64)","(512, 64)",1.3951146534665106,0.3951146534665109,0.05901564173585543,0.039910733699798584,2.603311077109538e-05,0.0007008680840954185,0.0009777917293831706,0.0007008680258877575,4.236483800923452e-05,2.635604323586449e-05,-0.6762738227844238,-0.6363630890846252,-0.676273763179779,0.9999999169493101,1.3951147693317547,0.9999999118631494,0.9409844410250179
granite_eq_small,granite,eq_small,eq_small (128_8 / 128_8),"(128, 8)","(128, 8)",1.55354398573933,0.5535439857393298,0.44762946971033163,0.1795298308134079,0.00021171178377699107,0.0026661825831979513,0.004142032470554113,0.0026661823503673077,0.00032654317328706384,0.00019442045595496893,-0.40106794238090515,-0.22153811156749725,-0.4010680019855499,0.9999999126726887,1.5535441214061612,1.0000001486148322,0.5523704459670395
granite_narrow,granite,narrow,narrow (128_8 / 256_8),"(128, 8)","(256, 8)",2.4088746643326417,1.4088746643326417,0.660776135205993,0.27672500908374786,0.00010957063204841688,0.001398027059622109,0.003367673372849822,0.0013980269432067871,0.00028932784334756434,0.00010674598888726905,-0.4187878370285034,-0.14206282794475555,-0.4187878370285034,0.999999916728909,2.40887486492228,1.0,0.33922386163834645
granite_predlarge_big,granite,predlarge_big,predlarge_big (256_64 / 1024_64),"(256, 64)","(1024, 64)",1.766224473868157,0.766224473868157,0.5356516337821733,0.2844150960445404,6.602108624065295e-05,0.0021120032761245966,0.0037302726414054632,0.0021120035089552402,0.00016088208940345794,6.695938645862043e-05,-0.5309702754020691,-0.2465551793575287,-0.5309702754020691,1.0000001102415588,1.7662242791568392,1.0,0.46434836420019354
granite_eq_medium,granite,eq_medium,eq_medium (256_64 / 256_64),"(256, 64)","(256, 64)",1.1443283499279229,0.14432834992792284,0.22926958643087658,0.11024990677833557,0.00017950157052837312,0.005334651563316584,0.00610459316521883,0.005334652028977871,0.00022302390425466,0.00017977537936531007,-0.48087453842163086,-0.3706246316432953,-0.48087453842163086,1.0000000872898998,1.1443282500396246,1.0,0.7707304126155707
granite_deep_pred,granite,deep_pred,deep_pred (256_64 / 512_256_64),"(256, 64)","(512, 256, 64)",1.373342918099177,0.37334291809917686,0.4490300073551871,0.2599453628063202,0.0001020021882141009,0.0032812433782964945,0.004506272729486227,0.003281243843957782,0.0001662896975176409,0.00010279771231580526,-0.5789042115211487,-0.3189588487148285,-0.5789042711257935,1.000000141916064,1.3733427231997832,1.0000001029611527,0.5509699343650031
granite_deep_both,granite,deep_both,deep_both (512_256_64 / 1024_512_64),"(512, 256, 64)","(1024, 512, 64)",2.5806096068037756,1.5806096068037756,1.0718116621914884,0.6709487214684486,1.1573825759114698e-05,0.0003422569716349244,0.0008832332096062601,0.00034225700073875487,4.3829910282511264e-05,1.0761544217530172e-05,-0.6259949803352356,0.04495374113321304,-0.6259950399398804,1.0000000850347774,2.5806093873622307,1.0000000952158512,-0.07181165877822608
granite_eq_deep,granite,eq_deep,eq_deep (512_256_64 / 512_256_64),"(512, 256, 64)","(512, 256, 64)",1.4836094950894787,0.48360949508947887,0.635783913755619,0.3704283982515335,2.35030529438518e-05,0.0007109277066774666,0.0010547395795583725,0.0007109277066774666,4.1939110815292224e-05,2.32016718655359e-05,-0.5826325416564941,-0.21220414340496063,-0.5826325416564941,1.0,1.4836094950894787,1.0,0.36421608406192846
granite_eq_wide,granite,eq_wide,eq_wide (512_64 / 512_64),"(512, 64)","(512, 64)",1.3076941925573875,0.3076941925573875,0.4091709764967248,0.2058379352092743,0.00012050827353959903,0.004017649684101343,0.005253857467323542,0.004017649684101343,0.00018768086738418788,0.00012648319534491748,-0.5030609369277954,-0.2972230017185211,-0.5030609965324402,1.0,1.3076941925573875,1.000000118483946,0.5908289518728042
