Experiment,Encoder,Target Layers,Predictor Layers,Target Params,Predictor Params,Total Params,MSE Seen,MSE Unseen,MSE Random,Std Seen,Std Unseen,Std Random,Reward Seen,Reward Unseen,Reward Random,Ratio U/S,Ratio R/S,Ratio U/R,Log Ratio U/S,Log Ratio R/S,Cohen d U/S,Cohen d R/S,Separation %,Final Loss,Loss Reduction %,Final Ratio,Novelty Detection,Duration (min)
granite_20251118,granite,"[128, 8]","[256, 8]",136,264,400,0.001398027059622109,0.003367673372849822,0.0013980269432067871,0.00010957063204841688,0.00028932784334756434,0.00010674598888726905,-0.4187878370285034,-0.14206282794475555,-0.4187878370285034,2.4088584416782974,0.9999927638432385,2.4088586422652933,0.8791529596306545,-7.236182942567362e-06,9.003065034726353,-1.0761506635136362e-06,140.88655945645039,0.0015352948617267733,95.54681059850472,2.2552102881982883,strong,0
granite_20251118,granite,"[256, 64]","[1024, 64]",320,1088,1408,0.0021120032761245966,0.0037302726414054632,0.0021120035089552402,6.602108624065295e-05,0.00016088208940345794,6.695938645862043e-05,-0.5309702754020691,-0.2465551793575287,-0.5309702754020691,1.76621647390885,0.9999953754223675,1.766216279199244,0.5688396733269515,-4.624588325898119e-06,13.159108157946473,3.5011131036543495e-06,76.62212087275715,0.0023097715185334284,92.88778086074232,1.7553654905075233,strong,0
granite_20251118,granite,"[256, 64]","[256, 64]",320,320,640,0.005334651563316584,0.00610459316521883,0.005334652028977871,0.00017950157052837312,0.00022302390425466,0.00017977537936531007,-0.48087453842163086,-0.3706246316432953,-0.48087453842163086,1.1443262319013123,0.9999982127565921,1.1443261320133675,0.13481602005091525,-1.7872450050571928e-06,3.803199401516051,2.5920684949988462e-06,14.432810643447272,0.005567133201596638,86.90379637973123,1.1607233909930053,moderate,0
granite_20251118,granite,"[256, 64]","[512, 256, 64]",320,832,1152,0.0032812433782964945,0.004506272729486227,0.003281243843957782,0.0001020021882141009,0.0001662896975176409,0.00010279771231580526,-0.5789042115211487,-0.3189588487148285,-0.5789042711257935,1.3733388464580316,0.9999970942997649,1.3733386515597503,0.31724488909645565,-2.9057044566447315e-06,8.880029119096498,4.546997370972735e-06,37.334189407394156,0.0034988734065943086,87.74013396724001,1.418058831563229,moderate,0
granite_20251118,granite,"[512, 256, 64]","[1024, 512, 64]",832,1600,2432,0.0003422569716349244,0.0008832332096062601,0.00034225700073875487,1.1573825759114698e-05,4.3829910282511264e-05,1.0761544217530172e-05,-0.6259949803352356,0.04495374113321304,-0.6259950399398804,2.5805388272998537,0.9999708680737673,2.580538607870097,0.9479982249185032,-2.913235057546601e-05,16.871367293478418,2.60202541559896e-06,158.05680442586277,0.0003693399568874156,91.4485730823863,2.6417111000311495,strong,0
granite_20251118,granite,"[512, 256, 64]","[512, 256, 64]",832,832,1664,0.0007109277066774666,0.0010547395795583725,0.0007109277066774666,2.35030529438518e-05,4.1939110815292224e-05,2.32016718655359e-05,-0.5826325416564941,-0.21220414340496063,-0.5826325416564941,1.4835893069839374,0.9999859340700231,1.4835893069839374,0.3944643591281776,-1.4066028903001548e-05,10.110709127591766,0.0,48.36033729139142,0.0007526264152450797,85.6055172552948,1.4844103439111187,moderate,0
granite_20251118,granite,"[512, 64]","[512, 64]",576,576,1152,0.004017649684101343,0.005253857467323542,0.004017649684101343,0.00012050827353959903,0.00018768086738418788,0.00012648319534491748,-0.5030609369277954,-0.2972230017185211,-0.5030609965324402,1.30769101427731,0.999997510988788,1.30769101427731,0.2682629975121331,-2.4890143096192623e-06,7.837874693722836,0.0,30.76935032885219,0.004268133540366156,88.24199697871403,1.3004742546664017,moderate,0
gte_20251118,gte,"[128, 64]","[2048, 64]",192,2112,2304,0.0006236770423129201,0.002178709954023361,0.0006236770423129201,1.8339067537453957e-05,0.00011192647070856765,1.746468296914827e-05,-0.545917272567749,-0.2506832778453827,-0.545917272567749,3.4932743607173506,0.9999839663175253,3.4932743607173506,1.2508395086082518,-1.6033811015575102e-05,19.387189056823917,0.0,249.32903943998252,0.0006795852195258097,97.62804231349344,3.4637401682056006,strong,0
gte_20251118,gte,"[128, 64]","[512, 64]",192,576,768,0.0003570943372324109,0.0005286593805067241,0.00035709430812858045,1.282364519283874e-05,2.2458987587015145e-05,1.3220657820056658e-05,-0.6761474013328552,-0.6522166132926941,-0.6761472821235657,1.4804059357102168,0.9999719154801978,1.4804060563625931,0.39231633105318,-2.8084914179695283e-05,9.376513172519072,-2.2329737474877578e-06,48.04339387305036,0.00039886373281963945,98.96377141408884,1.5158081062976851,moderate,0
gte_20251118,gte,"[128, 8]","[128, 8]",136,136,272,0.0029388628900051117,0.004934308584779501,0.002938862657174468,0.0001978324435185641,0.0004177741939201951,0.00022884635836817324,-0.42109325528144836,-0.17190687358379364,-0.42109325528144836,1.678979925113712,0.9999965181105047,1.6789800581300154,0.5181864215699118,-3.4818955570739082e-06,6.104735449258615,-1.0884400544390302e-06,67.89833277787385,0.003179233998525888,91.97536710635555,1.6350424517617517,strong,0
gte_20251118,gte,"[128, 8]","[256, 8]",136,264,400,0.001588007085956633,0.004397807642817497,0.0015880069695413113,0.00012134016287745908,0.0003850058128591627,0.00011869507579831406,-0.4336680769920349,-0.045961447060108185,-0.4336680769920349,2.7693704820362344,0.9999936295299269,2.769370685054944,1.0186200315683396,-6.370490364655511e-06,9.843379197892263,-9.698455695534984e-07,176.93767791976998,0.001751214300747961,94.9958985726837,2.756628907993665,strong,0
gte_20251118,gte,"[256, 64]","[1024, 64]",320,1088,1408,0.0022739300038665533,0.004395598080009222,0.0022739300038665533,6.777446833439171e-05,0.00018054162501357496,6.836507236585021e-05,-0.5635632872581482,-0.18886660039424896,-0.5635632872581482,1.9330316862076624,0.9999956023465953,1.9330316862076624,0.6590895923358479,-4.397663074359117e-06,15.558056521646991,0.0,93.30360838610672,0.002488123271420288,92.40415703451892,1.95797122783005,strong,0
gte_20251118,gte,"[256, 64]","[256, 64]",320,320,640,0.005533203016966581,0.006531618069857359,0.005533203016966581,0.00017874906188808382,0.00022507018002215773,0.0001901214855024591,-0.5109212398529053,-0.36651766300201416,-0.5109212398529053,1.180438571554963,0.9999981927317872,1.180438571554963,0.16588604023437817,-1.807269845861288e-06,4.912405249979637,0.0,18.044037882317586,0.005788952069512258,86.5258315157615,1.1893654859790377,moderate,0
gte_20251118,gte,"[256, 64]","[512, 256, 64]",320,832,1152,0.0035676804836839437,0.005221129860728979,0.0035676802508533,0.00011570587957976386,0.00019160035299137235,0.00011210810771444812,-0.6098768711090088,-0.24912045896053314,-0.6098768711090088,1.463448100278508,0.9999971318053821,1.4634481957844347,0.3807953637799593,-2.8681987312001413e-06,10.446381960279165,-2.0436074507163526e-06,46.34509032122395,0.003781867976067588,86.6290367520603,1.437552013690042,moderate,0
gte_20251118,gte,"[512, 256, 64]","[1024, 512, 64]",832,1600,2432,0.00039734833990223706,0.0011777542531490326,0.0003973483690060675,1.1989141967205796e-05,4.844988870900124e-05,1.2839689588872716e-05,-0.6544273495674133,0.31621938943862915,-0.6544273495674133,2.963960070496565,0.9999749070419108,2.9639598534064064,1.0865262358507122,-2.5093272922707473e-05,22.10620571331772,2.3410986061567284e-06,196.398523669794,0.0004317101499812755,90.12662007662901,3.0130371982994393,strong,0
gte_20251118,gte,"[512, 256, 64]","[512, 256, 64]",832,832,1664,0.0008075377554632723,0.0012811101041734219,0.0008075377554632723,2.6635967515176162e-05,4.7716068365843967e-05,2.56421717494959e-05,-0.5837327837944031,-0.06505361944437027,-0.5837328433990479,1.5864202401732603,0.9999876168314104,1.5864202401732603,0.4614800566980733,-1.2383245261712064e-05,12.252434509699041,0.0,58.64326233418499,0.0008490550516095633,83.95109745829316,1.6011274753593512,strong,0
gte_20251118,gte,"[512, 64]","[512, 64]",576,576,1152,0.0044698468409478664,0.006182936020195484,0.004469847306609154,0.00013771405792795122,0.00022278664982877672,0.00014367167023010552,-0.507305920124054,-0.2232067734003067,-0.5073059797286987,1.3832514642424982,0.9999978669700056,1.3832513201379748,0.32443686134784294,-2.133032269322831e-06,9.249376543296522,3.3087951811960354e-06,38.325370145061385,0.0047442356299143285,87.22786934240602,1.3366503678137365,moderate,0
